,date,DEVICE,OS,IS_LOGGEDIN,videos_regardes_sup90,videos_contenu_sup90,total_videos_vues,total_vues_loguees
355,2024-06-20,Desktop,Linux,1,0,0,1,1
356,2024-06-20,Desktop,Windows,0,108,188,198,0
357,2024-06-20,Desktop,Windows,1,100,162,178,178
358,2024-06-20,Desktop,macOS,0,25,54,55,0
359,2024-06-20,Desktop,macOS,1,39,56,64,64
360,2024-06-20,Mobile Phone,Android,0,400,863,911,0
361,2024-06-20,Mobile Phone,Android,1,333,560,634,634
362,2024-06-20,Mobile Phone,iOS,0,255,428,434,0
363,2024-06-20,Mobile Phone,iOS,1,192,367,399,399
364,2024-06-20,SMARTPHONE,Android,0,0,0,1,0
365,2024-06-20,Set Top Box,Android,1,3,2,5,5
366,2024-06-20,TABLET,Android,0,0,0,1,0
367,2024-06-20,TABLETTE,Android,1,1,2,2,2
368,2024-06-20,Tablet,Android,0,54,82,89,0
369,2024-06-20,Tablet,Android,1,78,136,156,156
370,2024-06-20,Tablet,iOS,0,7,11,12,0
371,2024-06-20,Tablet,iOS,1,93,175,188,188
372,2024-06-20,Tablet,iPadOS,0,23,36,36,0
373,2024-06-20,Tablet,iPadOS,1,1,1,1,1
374,2024-06-20,smart-tv,amazon,0,0,1,4,0
375,2024-06-20,smart-tv,amazon,1,0,7,21,21
376,2024-06-20,smart-tv,apple,0,1,0,4,0
377,2024-06-20,smart-tv,apple,1,1,3,9,9
378,2024-06-20,smart-tv,expressluck,1,0,1,2,2
379,2024-06-20,smart-tv,fengmi,0,0,0,1,0
380,2024-06-20,smart-tv,formuler,1,0,0,1,1
381,2024-06-20,smart-tv,google,0,0,3,4,0
382,2024-06-20,smart-tv,google,1,0,4,16,16
383,2024-06-20,smart-tv,hisense,0,0,1,2,0
384,2024-06-20,smart-tv,hisense,1,0,2,6,6
385,2024-06-20,smart-tv,konka,1,0,1,2,2
386,2024-06-20,smart-tv,ktc,1,0,0,1,1
387,2024-06-20,smart-tv,lg,0,0,1,2,0
388,2024-06-20,smart-tv,lg,1,0,2,7,7
389,2024-06-20,smart-tv,mtc,0,0,0,1,0
390,2024-06-20,smart-tv,mtc,1,0,1,1,1
391,2024-06-20,smart-tv,my,0,0,1,1,0
392,2024-06-20,smart-tv,my,1,0,0,7,7
393,2024-06-20,smart-tv,philips,1,0,2,3,3
394,2024-06-20,smart-tv,samsung,0,1,4,11,0
395,2024-06-20,smart-tv,samsung,1,3,7,24,24
396,2024-06-20,smart-tv,scbc,1,0,0,1,1
397,2024-06-20,smart-tv,sharp,1,0,1,1,1
398,2024-06-20,smart-tv,skyworthdigital,0,0,0,2,0
399,2024-06-20,smart-tv,sony,1,0,0,2,2
400,2024-06-20,smart-tv,tcl,0,0,0,3,0
401,2024-06-20,smart-tv,tcl,1,0,5,17,17
402,2024-06-20,smart-tv,technicolor,1,0,1,1,1
403,2024-06-20,smart-tv,tpv,1,0,2,6,6
404,2024-06-20,smart-tv,xiaomi,1,0,2,5,5
405,2024-06-21,DESKTOP,Android,0,0,1,1,0
406,2024-06-21,Desktop,Chrome OS,0,1,2,3,0
407,2024-06-21,Desktop,Chrome OS,1,1,2,2,2
408,2024-06-21,Desktop,Linux,0,0,2,3,0
409,2024-06-21,Desktop,Linux,1,0,2,2,2
410,2024-06-21,Desktop,Windows,0,75,121,126,0
411,2024-06-21,Desktop,Windows,1,46,67,69,69
412,2024-06-21,Desktop,macOS,0,9,22,35,0
413,2024-06-21,Desktop,macOS,1,17,25,25,25
414,2024-06-21,Media Player,iOS,1,1,1,1,1
415,2024-06-21,Mobile Phone,Android,0,278,541,593,0
416,2024-06-21,Mobile Phone,Android,1,168,265,302,302
417,2024-06-21,Mobile Phone,iOS,0,129,240,261,0
418,2024-06-21,Mobile Phone,iOS,1,80,126,151,151
419,2024-06-21,TABLET,Android,0,0,0,1,0
420,2024-06-21,TABLETTE,Android,1,2,2,2,2
421,2024-06-21,Tablet,Android,0,42,70,77,0
422,2024-06-21,Tablet,Android,1,37,82,91,91
423,2024-06-21,Tablet,iOS,0,8,12,13,0
424,2024-06-21,Tablet,iOS,1,36,67,78,78
425,2024-06-21,Tablet,iPadOS,0,10,16,18,0
426,2024-06-21,smart-tv,,0,0,1,2,0
427,2024-06-21,smart-tv,amazon,0,0,32,80,0
428,2024-06-21,smart-tv,amazon,1,2,39,124,124
429,2024-06-21,smart-tv,apple,0,14,39,85,0
430,2024-06-21,smart-tv,apple,1,9,20,58,58
431,2024-06-21,smart-tv,arris,1,0,0,1,1
432,2024-06-21,smart-tv,askey,0,0,1,2,0
433,2024-06-21,smart-tv,askey,1,0,1,2,2
434,2024-06-21,smart-tv,changhong,0,0,1,3,0
435,2024-06-21,smart-tv,changhong,1,0,2,6,6
436,2024-06-21,smart-tv,expressluck,0,0,4,7,0
437,2024-06-21,smart-tv,expressluck,1,7,13,37,37
438,2024-06-21,smart-tv,fengmi,1,1,1,2,2
439,2024-06-21,smart-tv,formuler,0,0,1,1,0
440,2024-06-21,smart-tv,formuler,1,0,2,2,2
441,2024-06-21,smart-tv,google,0,9,20,55,0
442,2024-06-21,smart-tv,google,1,10,43,111,111
443,2024-06-21,smart-tv,hisense,0,1,15,40,0
444,2024-06-21,smart-tv,hisense,1,4,30,70,70
445,2024-06-21,smart-tv,hkc,1,0,2,4,4
446,2024-06-21,smart-tv,jiuzhou,0,0,0,1,0
447,2024-06-21,smart-tv,jiuzhou,1,0,0,3,3
448,2024-06-21,smart-tv,konka,0,0,0,1,0
449,2024-06-21,smart-tv,konka,1,0,1,5,5
450,2024-06-21,smart-tv,lg,0,6,15,43,0
451,2024-06-21,smart-tv,lg,1,4,27,68,68
452,2024-06-21,smart-tv,m043,1,1,0,1,1
453,2024-06-21,smart-tv,mediatek,1,0,0,1,1
454,2024-06-21,smart-tv,mtc,0,0,1,7,0
455,2024-06-21,smart-tv,mtc,1,2,2,6,6
456,2024-06-21,smart-tv,my,0,2,4,9,0
457,2024-06-21,smart-tv,my,1,0,2,11,11
458,2024-06-21,smart-tv,nvidia,0,0,2,3,0
459,2024-06-21,smart-tv,nvidia,1,0,1,5,5
460,2024-06-21,smart-tv,other,0,0,2,2,0
461,2024-06-21,smart-tv,other,1,0,0,1,1
462,2024-06-21,smart-tv,philips,0,1,2,7,0
463,2024-06-21,smart-tv,philips,1,1,10,22,22
464,2024-06-21,smart-tv,sagemcom,1,0,1,1,1
465,2024-06-21,smart-tv,samsung,0,19,86,161,0
466,2024-06-21,smart-tv,samsung,1,32,101,253,253
467,2024-06-21,smart-tv,scbc,0,0,1,2,0
468,2024-06-21,smart-tv,scbc,1,0,1,5,5
469,2024-06-21,smart-tv,sdmc,0,0,1,1,0
470,2024-06-21,smart-tv,sdmc,1,0,2,3,3
471,2024-06-21,smart-tv,sei,1,2,3,6,6
472,2024-06-21,smart-tv,sharp,0,0,0,1,0
473,2024-06-21,smart-tv,sharp,1,0,1,1,1
474,2024-06-21,smart-tv,skyworth,0,0,0,1,0
